patrón,infill,paredes,espesor de pared,masa estimada,resistencia estimada,deformación estimada,carga máxima estimada,factor de seguridad,decisión final
gyroid,45.0,5,2.0,88.61684800000002,8.095952906315398,0.027500000000000004,20239.882265788496,1.5,GANADOR
gyroid,45.0,4,1.6,85.09279577600002,8.095952906315398,0.027500000000000004,20239.882265788496,1.5,Descartado
gyroid,45.0,2,1.2,81.446179968,8.095952906315398,0.027500000000000004,20239.882265788496,1.5,Descartado
gyroid,45.0,2,0.8,77.674905472,8.095952906315398,0.027500000000000004,20239.882265788496,1.5,Descartado
gyroid,40.0,5,2.0,82.582016,8.095952906315398,0.03,20239.882265788496,1.5,Descartado
gyroid,40.0,4,1.6,78.73759539200003,8.095952906315398,0.03,20239.882265788496,1.5,Descartado
gyroid,40.0,2,1.2,74.759469056,8.095952906315398,0.03,20239.882265788496,1.5,Descartado
gyroid,40.0,2,0.8,70.64535142400001,8.095952906315398,0.03,20239.882265788496,1.5,Descartado
gyroid,60.0,2,0.8,98.763567616,8.095952906315398,0.020000000000000004,20239.882265788496,1.5,Descartado
gyroid,55.0,4,1.6,97.80319654400002,8.095952906315398,0.0225,20239.882265788496,1.5,Descartado
gyroid,55.0,2,1.2,94.81960179199999,8.095952906315398,0.0225,20239.882265788496,1.5,Descartado
gyroid,55.0,2,0.8,91.73401356800002,8.095952906315398,0.0225,20239.882265788496,1.5,Descartado
gyroid,50.0,5,2.0,94.65168,8.095952906315398,0.025,20239.882265788496,1.5,Descartado
gyroid,50.0,4,1.6,91.44799616000003,8.095952906315398,0.025,20239.882265788496,1.5,Descartado
gyroid,50.0,2,1.2,88.13289087999999,8.095952906315398,0.025,20239.882265788496,1.5,Descartado
gyroid,50.0,2,0.8,84.70445952000001,8.095952906315398,0.025,20239.882265788496,1.5,Descartado
honeycomb,50.0,2,0.8,84.70445952000001,8.060427257874252,0.025,20151.068144685632,1.5,Descartado
honeycomb,50.0,2,1.2,88.13289087999999,8.060427257874252,0.025,20151.068144685632,1.5,Descartado
honeycomb,50.0,4,1.6,91.44799616000003,8.060427257874252,0.025,20151.068144685632,1.5,Descartado
honeycomb,50.0,5,2.0,94.65168,8.060427257874252,0.025,20151.068144685632,1.5,Descartado
honeycomb,55.0,2,0.8,91.73401356800002,8.060427257874252,0.0225,20151.068144685632,1.5,Descartado
honeycomb,55.0,2,1.2,94.81960179199999,8.060427257874252,0.0225,20151.068144685632,1.5,Descartado
honeycomb,55.0,4,1.6,97.80319654400002,8.060427257874252,0.0225,20151.068144685632,1.5,Descartado
honeycomb,60.0,2,0.8,98.763567616,8.060427257874252,0.020000000000000004,20151.068144685632,1.5,Descartado
gyroid,35.0,5,2.0,76.547184,7.525289218857922,0.0325,18813.223047144806,1.5,Descartado
gyroid,35.0,4,1.6,72.38239500800002,7.525289218857922,0.0325,18813.223047144806,1.5,Descartado
gyroid,35.0,2,1.2,68.07275814399999,7.525289218857922,0.0325,18813.223047144806,1.5,Descartado
gyroid,35.0,2,0.8,63.615797376,7.525289218857922,0.0325,18813.223047144806,1.5,Descartado
gyroid,25.0,2,0.8,49.55668928,7.517435703177055,0.037500000000000006,18793.589257942636,1.5,Descartado
gyroid,25.0,2,1.2,54.69933631999999,7.517435703177055,0.037500000000000006,18793.589257942636,1.5,Descartado
gyroid,25.0,4,1.6,59.67199424000002,7.517435703177055,0.037500000000000006,18793.589257942636,1.5,Descartado
gyroid,25.0,5,2.0,64.47752,7.517435703177055,0.037500000000000006,18793.589257942636,1.5,Descartado
gyroid,30.0,2,0.8,56.58624332800001,7.517435703177055,0.034999999999999996,18793.589257942636,1.5,Descartado
gyroid,30.0,2,1.2,61.386047231999996,7.517435703177055,0.034999999999999996,18793.589257942636,1.5,Descartado
gyroid,30.0,4,1.6,66.02719462400002,7.517435703177055,0.034999999999999996,18793.589257942636,1.5,Descartado
gyroid,30.0,5,2.0,70.512352,7.517435703177055,0.034999999999999996,18793.589257942636,1.5,Descartado
gyroid,15.0,2,0.8,35.497581184000005,7.517435703177055,0.0425,18793.589257942636,1.5,Descartado
gyroid,15.0,2,1.2,41.325914495999996,7.517435703177055,0.0425,18793.589257942636,1.5,Descartado
gyroid,15.0,4,1.6,46.96159347200002,7.517435703177055,0.0425,18793.589257942636,1.5,Descartado
gyroid,15.0,5,2.0,52.407856,7.517435703177055,0.0425,18793.589257942636,1.5,Descartado
gyroid,20.0,5,2.0,58.442688,7.517435703177055,0.04000000000000001,18793.589257942636,1.5,Descartado
gyroid,20.0,4,1.6,53.31679385600003,7.517435703177055,0.04000000000000001,18793.589257942636,1.5,Descartado
gyroid,20.0,2,1.2,48.01262540799999,7.517435703177055,0.04000000000000001,18793.589257942636,1.5,Descartado
gyroid,20.0,2,0.8,42.52713523200001,7.517435703177055,0.04000000000000001,18793.589257942636,1.5,Descartado
gyroid,10.0,2,0.8,28.46802713600001,7.517435703177055,0.045000000000000005,18793.589257942636,1.5,Descartado
gyroid,10.0,2,1.2,34.63920358399999,7.517435703177055,0.045000000000000005,18793.589257942636,1.5,Descartado
gyroid,10.0,4,1.6,40.60639308800003,7.517435703177055,0.045000000000000005,18793.589257942636,1.5,Descartado
gyroid,10.0,5,2.0,46.373024,7.517435703177055,0.045000000000000005,18793.589257942636,1.5,Descartado
honeycomb,45.0,5,2.0,88.61684800000002,7.489763570416776,0.027500000000000004,18724.40892604194,1.5,Descartado
honeycomb,45.0,4,1.6,85.09279577600002,7.489763570416776,0.027500000000000004,18724.40892604194,1.5,Descartado
honeycomb,45.0,2,1.2,81.446179968,7.489763570416776,0.027500000000000004,18724.40892604194,1.5,Descartado
honeycomb,45.0,2,0.8,77.674905472,7.489763570416776,0.027500000000000004,18724.40892604194,1.5,Descartado
honeycomb,10.0,2,0.8,28.46802713600001,7.481910054735909,0.045000000000000005,18704.775136839773,1.5,Descartado
honeycomb,10.0,2,1.2,34.63920358399999,7.481910054735909,0.045000000000000005,18704.775136839773,1.5,Descartado
honeycomb,10.0,4,1.6,40.60639308800003,7.481910054735909,0.045000000000000005,18704.775136839773,1.5,Descartado
honeycomb,10.0,5,2.0,46.373024,7.481910054735909,0.045000000000000005,18704.775136839773,1.5,Descartado
honeycomb,25.0,5,2.0,64.47752,7.481910054735909,0.037500000000000006,18704.775136839773,1.5,Descartado
honeycomb,25.0,4,1.6,59.67199424000002,7.481910054735909,0.037500000000000006,18704.775136839773,1.5,Descartado
honeycomb,25.0,2,1.2,54.69933631999999,7.481910054735909,0.037500000000000006,18704.775136839773,1.5,Descartado
honeycomb,25.0,2,0.8,49.55668928,7.481910054735909,0.037500000000000006,18704.775136839773,1.5,Descartado
honeycomb,20.0,5,2.0,58.442688,7.481910054735909,0.04000000000000001,18704.775136839773,1.5,Descartado
honeycomb,20.0,4,1.6,53.31679385600003,7.481910054735909,0.04000000000000001,18704.775136839773,1.5,Descartado
honeycomb,20.0,2,1.2,48.01262540799999,7.481910054735909,0.04000000000000001,18704.775136839773,1.5,Descartado
honeycomb,20.0,2,0.8,42.52713523200001,7.481910054735909,0.04000000000000001,18704.775136839773,1.5,Descartado
honeycomb,15.0,5,2.0,52.407856,7.481910054735909,0.0425,18704.775136839773,1.5,Descartado
honeycomb,15.0,4,1.6,46.96159347200002,7.481910054735909,0.0425,18704.775136839773,1.5,Descartado
honeycomb,15.0,2,1.2,41.325914495999996,7.481910054735909,0.0425,18704.775136839773,1.5,Descartado
honeycomb,15.0,2,0.8,35.497581184000005,7.481910054735909,0.0425,18704.775136839773,1.5,Descartado
honeycomb,30.0,2,0.8,56.58624332800001,7.481910054735909,0.034999999999999996,18704.775136839773,1.5,Descartado
honeycomb,30.0,2,1.2,61.386047231999996,7.481910054735909,0.034999999999999996,18704.775136839773,1.5,Descartado
honeycomb,30.0,4,1.6,66.02719462400002,7.481910054735909,0.034999999999999996,18704.775136839773,1.5,Descartado
honeycomb,30.0,5,2.0,70.512352,7.481910054735909,0.034999999999999996,18704.775136839773,1.5,Descartado
honeycomb,40.0,2,0.8,70.64535142400001,7.481910054735909,0.03,18704.775136839773,1.5,Descartado
honeycomb,40.0,2,1.2,74.759469056,7.481910054735909,0.03,18704.775136839773,1.5,Descartado
honeycomb,40.0,4,1.6,78.73759539200003,7.481910054735909,0.03,18704.775136839773,1.5,Descartado
honeycomb,40.0,5,2.0,82.582016,7.481910054735909,0.03,18704.775136839773,1.5,Descartado
honeycomb,35.0,2,0.8,63.615797376,7.481910054735909,0.0325,18704.775136839773,1.5,Descartado
honeycomb,35.0,2,1.2,68.07275814399999,7.481910054735909,0.0325,18704.775136839773,1.5,Descartado
honeycomb,35.0,4,1.6,72.38239500800002,7.481910054735909,0.0325,18704.775136839773,1.5,Descartado
honeycomb,35.0,5,2.0,76.547184,7.481910054735909,0.0325,18704.775136839773,1.5,Descartado
triply_periodic,50.0,2,0.8,84.70445952000001,7.053996423965817,0.025,17634.99105991454,1.5,Descartado
triply_periodic,50.0,2,1.2,88.13289087999999,7.053996423965817,0.025,17634.99105991454,1.5,Descartado
triply_periodic,50.0,4,1.6,91.44799616000003,7.053996423965817,0.025,17634.99105991454,1.5,Descartado
triply_periodic,50.0,5,2.0,94.65168,7.053996423965817,0.025,17634.99105991454,1.5,Descartado
triply_periodic,35.0,5,2.0,76.547184,7.053996423965817,0.0325,17634.99105991454,1.5,Descartado
triply_periodic,35.0,4,1.6,72.38239500800002,7.053996423965817,0.0325,17634.99105991454,1.5,Descartado
triply_periodic,35.0,2,1.2,68.07275814399999,7.053996423965817,0.0325,17634.99105991454,1.5,Descartado
triply_periodic,35.0,2,0.8,63.615797376,7.053996423965817,0.0325,17634.99105991454,1.5,Descartado
triply_periodic,55.0,2,0.8,91.73401356800002,7.053996423965817,0.0225,17634.99105991454,1.5,Descartado
triply_periodic,55.0,2,1.2,94.81960179199999,7.053996423965817,0.0225,17634.99105991454,1.5,Descartado
triply_periodic,55.0,4,1.6,97.80319654400002,7.053996423965817,0.0225,17634.99105991454,1.5,Descartado
triply_periodic,60.0,2,0.8,98.763567616,7.053996423965817,0.020000000000000004,17634.99105991454,1.5,Descartado
triply_periodic,40.0,5,2.0,82.582016,7.053996423965817,0.03,17634.99105991454,1.5,Descartado
triply_periodic,40.0,4,1.6,78.73759539200003,7.053996423965817,0.03,17634.99105991454,1.5,Descartado
triply_periodic,40.0,2,1.2,74.759469056,7.053996423965817,0.03,17634.99105991454,1.5,Descartado
triply_periodic,40.0,2,0.8,70.64535142400001,7.053996423965817,0.03,17634.99105991454,1.5,Descartado
triply_periodic,45.0,5,2.0,88.61684800000002,7.053996423965817,0.027500000000000004,17634.99105991454,1.5,Descartado
triply_periodic,45.0,4,1.6,85.09279577600002,7.053996423965817,0.027500000000000004,17634.99105991454,1.5,Descartado
triply_periodic,45.0,2,1.2,81.446179968,7.053996423965817,0.027500000000000004,17634.99105991454,1.5,Descartado
triply_periodic,45.0,2,0.8,77.674905472,7.053996423965817,0.027500000000000004,17634.99105991454,1.5,Descartado
triply_periodic,30.0,5,2.0,70.512352,6.587494385764648,0.034999999999999996,16468.735964411622,1.5,Descartado
triply_periodic,30.0,4,1.6,66.02719462400002,6.587494385764648,0.034999999999999996,16468.735964411622,1.5,Descartado
triply_periodic,30.0,2,1.2,61.386047231999996,6.587494385764648,0.034999999999999996,16468.735964411622,1.5,Descartado
triply_periodic,30.0,2,0.8,56.58624332800001,6.587494385764648,0.034999999999999996,16468.735964411622,1.5,Descartado
triply_periodic,15.0,5,2.0,52.407856,6.579640870083781,0.0425,16449.102175209453,1.5,Descartado
triply_periodic,15.0,4,1.6,46.96159347200002,6.579640870083781,0.0425,16449.102175209453,1.5,Descartado
triply_periodic,15.0,2,1.2,41.325914495999996,6.579640870083781,0.0425,16449.102175209453,1.5,Descartado
triply_periodic,15.0,2,0.8,35.497581184000005,6.579640870083781,0.0425,16449.102175209453,1.5,Descartado
triply_periodic,10.0,5,2.0,46.373024,6.579640870083781,0.045000000000000005,16449.102175209453,1.5,Descartado
triply_periodic,10.0,4,1.6,40.60639308800003,6.579640870083781,0.045000000000000005,16449.102175209453,1.5,Descartado
triply_periodic,10.0,2,1.2,34.63920358399999,6.579640870083781,0.045000000000000005,16449.102175209453,1.5,Descartado
triply_periodic,10.0,2,0.8,28.46802713600001,6.579640870083781,0.045000000000000005,16449.102175209453,1.5,Descartado
triply_periodic,20.0,2,0.8,42.52713523200001,6.579640870083781,0.04000000000000001,16449.102175209453,1.5,Descartado
triply_periodic,20.0,2,1.2,48.01262540799999,6.579640870083781,0.04000000000000001,16449.102175209453,1.5,Descartado
triply_periodic,20.0,4,1.6,53.31679385600003,6.579640870083781,0.04000000000000001,16449.102175209453,1.5,Descartado
triply_periodic,20.0,5,2.0,58.442688,6.579640870083781,0.04000000000000001,16449.102175209453,1.5,Descartado
triply_periodic,25.0,2,0.8,49.55668928,6.579640870083781,0.037500000000000006,16449.102175209453,1.5,Descartado
triply_periodic,25.0,2,1.2,54.69933631999999,6.579640870083781,0.037500000000000006,16449.102175209453,1.5,Descartado
triply_periodic,25.0,4,1.6,59.67199424000002,6.579640870083781,0.037500000000000006,16449.102175209453,1.5,Descartado
triply_periodic,25.0,5,2.0,64.47752,6.579640870083781,0.037500000000000006,16449.102175209453,1.5,Descartado
